tipo,nombre,producto,calificacion,comentario,comentario_limpio
estructurado,Ana,CRM Plus,0.87,Interfaz muy intuitiva.,interfaz muy intuitiva.
no estructurado,,,0.93,"Pésimo, no volveré a usarlo.","pésimo, volveré usarlo."
estructurado,Mario,Sistema de Nómina,0.96,Me encanta cómo ha mejorado la experiencia.,encanta cómo mejorado experiencia.
estructurado,Mario,ERP Cloud,0.95,"Muy lento, esperaba más.","muy lento, esperaba más."
estructurado,Patricia,CRM Plus,0.86,Atención excelente y rápida.,atención excelente rápida.
no estructurado,,,0.86,Los reportes son confusos.,los reportes son confusos.
no estructurado,,,0.93,¡excelente todo! buen servicio :),excelente buen servicio
estructurado,Patricia,Portal de Clientes,0.93,Demasiados errores al procesar.,demasiados errores procesar.
estructurado,Diana,ERP Cloud,0.82,Tuve muchos errores al facturar.,tuve errores facturar
estructurado,Lucía,Portal de Clientes,1.0,"No lo recomendaría, demasiados bugs.",recomendara demasiados bugs
no estructurado,,,0.88,no me gusta. Lento. Feo. Mal.,gusta lento feo mal
estructurado,Mario,CRM Plus,0.92,Siento que ha mejorado bastante.,siento que mejorado bastante.
estructurado,Diana,Portal de Clientes,0.9,Siento que ha mejorado bastante.,siento que mejorado bastante.
estructurado,Carlos,App Móvil,0.93,Demasiados errores al procesar.,demasiados errores procesar.
estructurado,Jorge,ERP Cloud,0.96,Los reportes son confusos.,los reportes son confusos.
estructurado,Patricia,CRM Plus,0.88,La integración con otras herramientas es perfecta.,integracin herramientas perfecta
no estructurado,,,0.93,Muy fácil de usar.,muy fácil usar.
no estructurado,,,0.84,Demasiados errores al procesar.,demasiados errores procesar.
estructurado,Carlos,App Móvil,0.98,La integración con otras herramientas es perfecta.,integracin herramientas perfecta
estructurado,Ana,App Móvil,0.83,Los reportes son confusos.,los reportes son confusos.
estructurado,Fernanda,CRM Plus,0.84,Siento que ha mejorado bastante.,siento que mejorado bastante.
estructurado,Fernanda,CRM Plus,0.81,Es justo lo que necesitaba.,justo que necesitaba.
estructurado,Mario,Sistema de Nómina,0.9,No lo recomendaría.,recomendaría.
no estructurado,,,0.83,Interfaz muy intuitiva.,interfaz muy intuitiva.
no estructurado,,,0.85,Me gustó la nueva actualización.,gustó nueva actualización.
no estructurado,,,0.86,"horrible sistema, no pude ni entrar! 😡",horrible sistema pude entrar
estructurado,Carlos,App Móvil,0.97,Siento que ha mejorado bastante.,siento que mejorado bastante.
no estructurado,,,0.96,Atención excelente y rápida.,atención excelente rápida.
estructurado,Carlos,App Móvil,0.94,El soporte técnico nunca responde.,soporte tcnico nunca responde
no estructurado,,,0.99,Genial para llevar el control.,genial para llevar control.
estructurado,Fernanda,Portal de Clientes,0.91,Excelente atención al cliente.,excelente atencin cliente
no estructurado,,,0.9,Superó mis expectativas.,superó mis expectativas.
no estructurado,,,0.94,No lo recomendaría.,recomendaría.
no estructurado,,,0.81,Falla constantemente.,falla constantemente.
estructurado,Diana,App Móvil,0.91,Los reportes son confusos.,los reportes son confusos.
estructurado,Lucía,Portal de Clientes,0.84,Es muy lento y se traba constantemente.,lento traba constantemente
no estructurado,,,0.83,"Muy lento, esperaba más.","muy lento, esperaba más."
estructurado,Andrés,ERP Cloud,0.94,Es justo lo que necesitaba.,justo que necesitaba.
estructurado,Diana,Portal de Clientes,0.95,No lo recomendaría.,recomendaría.
no estructurado,,,0.95,"mmm está bien, pero meh...",mmm est bien meh
no estructurado,,,0.95,Es justo lo que necesitaba.,justo que necesitaba.
estructurado,Luis,App Móvil,0.98,Podría ser más rápido.,podría ser más rápido.
estructurado,Lucía,ERP Cloud,0.82,La integración con otras herramientas es perfecta.,integracin herramientas perfecta
no estructurado,,,0.84,"Muy lento, esperaba más.","muy lento, esperaba más."
no estructurado,,,0.85,Me gustó la nueva actualización.,gustó nueva actualización.
no estructurado,,,0.96,"wow, superó mis expectativas!",wow super mis expectativas
no estructurado,,,0.85,Falla constantemente.,falla constantemente.
estructurado,Mario,App Móvil,0.99,No sirve para nada.,sirve para nada.
no estructurado,,,0.83,Funciona bien para lo básico.,funciona bien para básico.
estructurado,Fernanda,ERP Cloud,0.82,"No lo recomendaría, demasiados bugs.",recomendara demasiados bugs
no estructurado,,,0.83,Funciona bien para lo básico.,funciona bien para básico.
