tipo,nombre,producto,calificacion,comentario,comentario_limpio
estructurado,Lucía,Portal de Clientes,1.0,"No lo recomendaría, demasiados bugs.",recomendara demasiados bugs
estructurado,Andrés,Portal de Clientes,4.0,"Me encanta la nueva interfaz, es muy intuitiva.",encanta nueva interfaz intuitiva
estructurado,Luis,CRM Plus,3.0,"El sistema cumple su función, sin más.",sistema cumple funcin
estructurado,Luis,CRM Plus,1.0,"Pésimo servicio, no cumple lo prometido.",psimo servicio cumple prometido
estructurado,Patricia,CRM Plus,4.0,La integración con otras herramientas es perfecta.,integracin herramientas perfecta
estructurado,Lucía,Portal de Clientes,2.0,Es muy lento y se traba constantemente.,lento traba constantemente
estructurado,Jorge,Sistema de Nómina,1.0,Tuve muchos errores al facturar.,tuve errores facturar
estructurado,Lucía,ERP Cloud,5.0,La integración con otras herramientas es perfecta.,integracin herramientas perfecta
estructurado,Jorge,CRM Plus,4.0,El sistema es muy eficiente y fácil de usar.,sistema eficiente fcil usar
estructurado,Carlos,App Móvil,1.0,El soporte técnico nunca responde.,soporte tcnico nunca responde
estructurado,Diana,ERP Cloud,2.0,Tuve muchos errores al facturar.,tuve errores facturar
estructurado,Fernanda,Portal de Clientes,4.0,Excelente atención al cliente.,excelente atencin cliente
estructurado,Carlos,App Móvil,5.0,La integración con otras herramientas es perfecta.,integracin herramientas perfecta
estructurado,Fernanda,ERP Cloud,2.0,"No lo recomendaría, demasiados bugs.",recomendara demasiados bugs
estructurado,Jorge,CRM Plus,4.0,Excelente atención al cliente.,excelente atencin cliente
no estructurado,,,,"horrible sistema, no pude ni entrar! 😡",horrible sistema pude entrar
no estructurado,,,,"mmm está bien, pero meh...",mmm est bien meh
no estructurado,,,,"Me resolvieron el problema, gracias!",resolvieron problema gracias
no estructurado,,,,no me gusta. Lento. Feo. Mal.,gusta lento feo mal
no estructurado,,,,"wow, superó mis expectativas!",wow super mis expectativas
no estructurado,,,,"otra vez falla el sistema, qué sorpresa...",vez falla sistema sorpresa
no estructurado,,,,"necesito ayuda, no puedo hacer login",necesito ayuda puedo hacer login
no estructurado,,,,¡excelente todo! buen servicio :),excelente buen servicio
