comentario,sentimiento
Nada de lo que dijeron fue cierto.,negativo
"Correcto, sin destacar.",neutro
Es un software promedio.,neutro
Me sirvió para lo necesario.,neutro
La tecnología implementada es de última generación.,positivo
Estoy muy insatisfecho con el producto.,negativo
"Lento, poco intuitivo y nada profesional.",negativo
"No me gustó, tiene muchos errores.",negativo
"Todo fue profesional, rápido y eficiente.",positivo
Es un software promedio.,neutro
"Lento, poco intuitivo y nada profesional.",negativo
No funciona como se prometió.,negativo
"Correcto, sin destacar.",neutro
"Ni bueno ni malo, está aceptable.",neutro
La instalación fue un caos total.,negativo
"Recomiendo este producto, vale cada peso.",positivo
Nada fuera de lo común.,neutro
No funciona como se prometió.,negativo
"Correcto, sin destacar.",neutro
"Lo uso, pero no me emociona.",neutro
"El producto está bien, cumple lo básico.",neutro
La instalación fue un caos total.,negativo
"Gran experiencia, el soporte fue excelente.",positivo
"Atención al cliente pésima, no lo recomiendo.",negativo
"Atención al cliente pésima, no lo recomiendo.",negativo
"Todo fue profesional, rápido y eficiente.",positivo
"Lo uso, pero no me emociona.",neutro
Es un software promedio.,neutro
Me sirvió para lo necesario.,neutro
"El producto está bien, cumple lo básico.",neutro
"Gran experiencia, el soporte fue excelente.",positivo
"Me encanta cómo funciona, es muy intuitivo.",positivo
Nada fuera de lo común.,neutro
"Atención al cliente pésima, no lo recomiendo.",negativo
La tecnología implementada es de última generación.,positivo
La instalación fue un caos total.,negativo
"Correcto, sin destacar.",neutro
"Atención al cliente pésima, no lo recomiendo.",negativo
El sistema se traba constantemente.,negativo
Me sirvió para lo necesario.,neutro
"El producto está bien, cumple lo básico.",neutro
"Me encanta cómo funciona, es muy intuitivo.",positivo
"Me encanta cómo funciona, es muy intuitivo.",positivo
"Atención al cliente pésima, no lo recomiendo.",negativo
Es un software promedio.,neutro
Tuve una experiencia normal.,neutro
"Muy mal servicio, perdí tiempo y dinero.",negativo
Es un software promedio.,neutro
Nada fuera de lo común.,neutro
No funciona como se prometió.,negativo
Nada de lo que dijeron fue cierto.,negativo
"Funciona como se esperaba, nada sorprendente.",neutro
Es un software promedio.,neutro
"Gran experiencia, el soporte fue excelente.",positivo
Nada fuera de lo común.,neutro
"Muy útil para mi día a día, estoy feliz con la compra.",positivo
"Increíble atención al cliente, los recomiendo totalmente.",positivo
"Atención al cliente pésima, no lo recomiendo.",negativo
Regular en todos los aspectos.,neutro
Me sirvió para lo necesario.,neutro
"Muy mal servicio, perdí tiempo y dinero.",negativo
"Me encanta cómo funciona, es muy intuitivo.",positivo
Regular en todos los aspectos.,neutro
Es un software promedio.,neutro
"Muy útil para mi día a día, estoy feliz con la compra.",positivo
"Tuve una mala experiencia, no volvería a comprar.",negativo
"Tuve una mala experiencia, no volvería a comprar.",negativo
"Todo fue profesional, rápido y eficiente.",positivo
No funciona como se prometió.,negativo
"Funciona como se esperaba, nada sorprendente.",neutro
"Ni bueno ni malo, está aceptable.",neutro
"Correcto, sin destacar.",neutro
La tecnología implementada es de última generación.,positivo
No funciona como se prometió.,negativo
"Increíble atención al cliente, los recomiendo totalmente.",positivo
Regular en todos los aspectos.,neutro
El sistema se traba constantemente.,negativo
La tecnología implementada es de última generación.,positivo
"Muy mal servicio, perdí tiempo y dinero.",negativo
Nada de lo que dijeron fue cierto.,negativo
"Sorprendido por la calidad, superó lo que esperaba.",positivo
"Sorprendido por la calidad, superó lo que esperaba.",positivo
Nada fuera de lo común.,neutro
"Ni bueno ni malo, está aceptable.",neutro
"Me encanta cómo funciona, es muy intuitivo.",positivo
La tecnología implementada es de última generación.,positivo
Tuve una experiencia normal.,neutro
La instalación fue un caos total.,negativo
Me sirvió para lo necesario.,neutro
Nada de lo que dijeron fue cierto.,negativo
El sistema cumple perfectamente con mis expectativas.,positivo
Estoy muy insatisfecho con el producto.,negativo
"Funciona como se esperaba, nada sorprendente.",neutro
El sistema cumple perfectamente con mis expectativas.,positivo
Me sirvió para lo necesario.,neutro
"El producto está bien, cumple lo básico.",neutro
"Muy útil para mi día a día, estoy feliz con la compra.",positivo
Regular en todos los aspectos.,neutro
"Gran experiencia, el soporte fue excelente.",positivo
"Increíble atención al cliente, los recomiendo totalmente.",positivo
"Me encanta cómo funciona, es muy intuitivo.",positivo
"Sorprendido por la calidad, superó lo que esperaba.",positivo
"Lento, poco intuitivo y nada profesional.",negativo
"Ni bueno ni malo, está aceptable.",neutro
"Atención al cliente pésima, no lo recomiendo.",negativo
El sistema se traba constantemente.,negativo
El sistema cumple perfectamente con mis expectativas.,positivo
"Tuve una mala experiencia, no volvería a comprar.",negativo
La tecnología implementada es de última generación.,positivo
"Sorprendido por la calidad, superó lo que esperaba.",positivo
El sistema se traba constantemente.,negativo
Regular en todos los aspectos.,neutro
Me sirvió para lo necesario.,neutro
"El producto está bien, cumple lo básico.",neutro
La tecnología implementada es de última generación.,positivo
"Lo uso, pero no me emociona.",neutro
"Todo fue profesional, rápido y eficiente.",positivo
Me sirvió para lo necesario.,neutro
"Sorprendido por la calidad, superó lo que esperaba.",positivo
"Gran experiencia, el soporte fue excelente.",positivo
"Gran experiencia, el soporte fue excelente.",positivo
"El producto está bien, cumple lo básico.",neutro
"Ni bueno ni malo, está aceptable.",neutro
"Todo fue profesional, rápido y eficiente.",positivo
"Me encanta cómo funciona, es muy intuitivo.",positivo
"Ni bueno ni malo, está aceptable.",neutro
"Lo uso, pero no me emociona.",neutro
Muy satisfecho con el rendimiento del software.,positivo
"Todo fue profesional, rápido y eficiente.",positivo
Muy satisfecho con el rendimiento del software.,positivo
"Lento, poco intuitivo y nada profesional.",negativo
"Me encanta cómo funciona, es muy intuitivo.",positivo
Es un software promedio.,neutro
"Lento, poco intuitivo y nada profesional.",negativo
"Lo uso, pero no me emociona.",neutro
"Lento, poco intuitivo y nada profesional.",negativo
"Atención al cliente pésima, no lo recomiendo.",negativo
Estoy muy insatisfecho con el producto.,negativo
"El producto está bien, cumple lo básico.",neutro
"Correcto, sin destacar.",neutro
"Ni bueno ni malo, está aceptable.",neutro
Nada fuera de lo común.,neutro
"Atención al cliente pésima, no lo recomiendo.",negativo
Estoy muy insatisfecho con el producto.,negativo
Me sirvió para lo necesario.,neutro
"Increíble atención al cliente, los recomiendo totalmente.",positivo
"Atención al cliente pésima, no lo recomiendo.",negativo
"Funciona como se esperaba, nada sorprendente.",neutro
Nada fuera de lo común.,neutro
"Increíble atención al cliente, los recomiendo totalmente.",positivo
La instalación fue un caos total.,negativo
"Sorprendido por la calidad, superó lo que esperaba.",positivo
"Me encanta cómo funciona, es muy intuitivo.",positivo
"Todo fue profesional, rápido y eficiente.",positivo
"Me encanta cómo funciona, es muy intuitivo.",positivo
Nada de lo que dijeron fue cierto.,negativo
"Tuve una mala experiencia, no volvería a comprar.",negativo
Nada fuera de lo común.,neutro
"Recomiendo este producto, vale cada peso.",positivo
Nada fuera de lo común.,neutro
Regular en todos los aspectos.,neutro
Nada de lo que dijeron fue cierto.,negativo
"Todo fue profesional, rápido y eficiente.",positivo
La tecnología implementada es de última generación.,positivo
La tecnología implementada es de última generación.,positivo
